id,mean,std
100,24.39,4.417355578061417
1000,215.22,25.42391302564091
10000,2009.56,132.79788850700612
2000,406.62,28.606271827674217
20000,4009.61,128.3935628047486
3000,610.41,37.70997644168348
4000,802.95,48.202304106879794
500,110.37,14.053760415567849
5000,1015.91,62.5532653831997
